"country","title","total_revenue"
"Australia","Streetcar Intentions","82.87"
"Canada","Entrapment Satisfaction","24.94"
"Canada","Encounters Curtain","19.91"
"Canada","Star Operation","31.92"
"Canada","Reign Gentlemen","70.88"
"Australia","Effect Gladiator","14.91"
"Australia","Ridgemont Submarine","53.85"
"Australia","Mob Duffel","27.90"
"Canada","Grail Frankenstein","40.92"
"Australia","Early Home","36.94"
"Canada","Siege Madre","16.86"
"Australia","Steers Armageddon","42.93"
